,0,LAT,LON
396,Kirtlebridge,55.0436072,-3.1947294
397,Ecclefechan,55.059026,-3.265945
398,Carlisle,54.892473,-2.932931
399,Lockerbie,55.12224500000001,-3.349008
400,the River Annan,55.1867269,-3.4143405
401,Johnstone Bridge,55.2121571,-3.4209491
402,Aberdeen,57.149717,-2.094278
403,Edinburgh,55.953252,-3.188267
404,Scotland,56.49067119999999,-4.2026458
405,east coast,37.09024,-95.712891
406,Lancaster,40.0378755,-76.3055144
407,Ruhr,51.5450884,7.198084299999999
408,Inverness,57.477773,-4.224721
409,Aberdeen,57.149717,-2.094278
410,Glasgow,55.864237,-4.251806
411,Beattock Summit,55.3055409,-3.4537055
412,green hills,35.9753575,-96.1056986
413,Abington,40.1240795,-75.11951069999999
414,the west bank,31.9465703,35.3027226
415,Glasgow,55.864237,-4.251806
416,Cumbernauld Road,55.8951593,-4.1291152
417,A80,33.3517888,-84.5503976
418,Muirhead,55.8976844,-4.1049724
419,Mollinburn,55.920663,-4.05054
420,Condorrat,55.9363514,-4.018710599999999
421,Stirling,56.1165227,-3.9369029
422,Berlin,52.52000659999999,13.404954
423,London,51.5073509,-0.1277583
424,London,51.5073509,-0.1277583
425,Edinburgh,55.953252,-3.188267
426,Aberdeen,57.149717,-2.094278
427,Scotland,56.49067119999999,-4.2026458
428,Banff,51.17839720000001,-115.5708074
429,Aberdeen,57.149717,-2.094278
430,Aberdeen,57.149717,-2.094278
431,J.P.,38.972335,-95.717882
432,Banff,51.17839720000001,-115.5708074
433,Waterloo,42.492786,-92.34257749999999
434,Aberdeen,57.149717,-2.094278
435,Stirling,56.1165227,-3.9369029
436,George Street,32.784276,-79.93354599999999
437,Banff,51.17839720000001,-115.5708074
438,Market Street,33.0258651,-96.7993875
439,the River Don,53.4900855,-1.2925132
440,Italy,41.87194,12.56738
441,London,51.5073509,-0.1277583
442,Stockwell,36.8748201,-94.8771458
443,Aberdeen,57.149717,-2.094278
444,china,35.86166,104.195397
445,Storm Island,41.1787061,-74.32598460000001
446,oilskins,52.59728639999999,1.7281129
447,Wellington,-41.2768778,174.7731458
448,the United Kingdom,55.378051,-3.435973
449,London,51.5073509,-0.1277583
450,Liverpool,32.6564981,-115.4763241
451,Scotland,56.49067119999999,-4.2026458
452,Ulster,54.7616555,-6.9612273
453,North Wales,53.0711149,-3.8080783
454,London,51.5073509,-0.1277583
455,Liverpool,32.6564981,-115.4763241
456,London,51.5073509,-0.1277583
457,Liverpool,32.6564981,-115.4763241
458,Britain,55.378051,-3.435973
459,Germany,51.165691,10.451526
460,London,51.5073509,-0.1277583
461,Brighton,36.0637737,-95.8818853
462,Solihull,52.411811,-1.77761
463,Birmingham,33.5185892,-86.8103567
464,Col chester,51.895927,0.8918740000000001
465,Newbury,42.9164044,-78.8772929
466,Exeter,32.8996787,-96.9821243
467,London El,51.5073509,-0.1277583
468,A30,45.2877534,-74.0305029
469,Bagshot,51.360343,-0.697894
470,Portsmouth,43.0717552,-70.7625532
471,Stirling,56.1165227,-3.9369029
472,London,51.5073509,-0.1277583
473,Stirling,56.1165227,-3.9369029
474,Chelsea,36.5402086,-95.439145
475,France,46.227638,2.213749
476,Stirling,56.1165227,-3.9369029
477,Stirling,56.1165227,-3.9369029
478,Britain,55.378051,-3.435973
479,London,51.5073509,-0.1277583
480,Liverpool,32.6564981,-115.4763241
481,Carlisle,54.892473,-2.932931
482,Stirling,56.1165227,-3.9369029
483,Scotland,56.49067119999999,-4.2026458
484,Eire,53.1423672,-7.692053599999999
485,Scotland,56.49067119999999,-4.2026458
486,Scotland,56.49067119999999,-4.2026458
487,the east coast,40.5886533,-105.0751351
488,the North Sea,56.511018,3.515625
489,Baltic,58.48795200000001,19.863281
490,Sweden,60.12816100000001,18.643501
491,Norway,60.47202399999999,8.468945999999999
492,Stirling,56.1165227,-3.9369029
493,Aberdeen,57.149717,-2.094278
494,Carlisle,54.892473,-2.932931
495,Stirling,56.1165227,-3.9369029
496,Aberdeen,57.149717,-2.094278
497,Banff,51.17839720000001,-115.5708074
498,Carlisle,54.892473,-2.932931
499,Carlisle,54.892473,-2.932931
500,Morris,45.5919444,-95.9188889
501,Stirling,56.1165227,-3.9369029
502,Aberdeen,57.149717,-2.094278
503,Aberdeen,57.149717,-2.094278
504,Aberdeen,57.149717,-2.094278
505,Aberdeen,57.149717,-2.094278
506,Aberdeen,57.149717,-2.094278
507,Norway,60.47202399999999,8.468945999999999
508,Mediterranean,34.5531284,18.0480105
509,London,51.5073509,-0.1277583
510,Tennessee,35.5174913,-86.5804473
511,London,51.5073509,-0.1277583
512,London,51.5073509,-0.1277583
513,Berlin,52.52000659999999,13.404954
514,Edinburgh,55.953252,-3.188267
515,Aberdeen,57.149717,-2.094278
516,Carlisle,54.892473,-2.932931
517,London,51.5073509,-0.1277583
518,Aberdeen,57.149717,-2.094278
519,Aberdeen,57.149717,-2.094278
520,Morris,45.5919444,-95.9188889
521,Aberdeen,57.149717,-2.094278
522,Edinburgh,55.953252,-3.188267
523,Banff,51.17839720000001,-115.5708074
524,Aberdeen,57.149717,-2.094278
525,Banff,51.17839720000001,-115.5708074
526,Aberdeen,57.149717,-2.094278
527,Aberdeen,57.149717,-2.094278
528,Aberdeen,57.149717,-2.094278
529,Aberdeen,57.149717,-2.094278
530,Stuttgart,48.7758459,9.1829321
531,Britain,55.378051,-3.435973
532,Yorkshire,,
533,Soho,40.723301,-74.0029883
534,Africa,-8.783195,34.508523
535,La Roche Guyon,49.080652,1.629129
536,France,46.227638,2.213749
537,Africa,-8.783195,34.508523
538,Turkey,38.963745,35.243322
539,Greece,39.074208,21.824312
540,Yugoslavia,43.6876095,-79.4121417
541,Algeria,28.033886,1.659626
542,Riviera,36.2911694,-95.8308698
543,Sweden,60.12816100000001,18.643501
544,Italy,41.87194,12.56738
545,Rome,41.9027835,12.4963655
546,Crete,35.240117,24.8092691
547,Lyon,45.764043,4.835659
548,Athens,37.9838096,23.7275388
549,Sagvaag,59.7813875,5.389962700000001
550,Boulogne-sur-Seine,48.8396952,2.2399123
551,Ardennes,49.7624642,4.6285053
552,Amiens,49.894067,2.295753
553,Rouen,49.44323199999999,1.099971
554,Caen,49.182863,-0.370679
555,Toulouse,43.604652,1.444209
556,Atlantic,36.192442,-95.893333
557,Mobile,36.723521,-95.93437
558,Paris,48.856614,2.3522219
559,Paris,48.856614,2.3522219
560,the Boulevard St-Michel,48.8472064,2.3407775
561,the Atlantic Wall,40.1360541,-74.0771413
562,France,46.227638,2.213749
563,Tromsö,69.6492047,18.9553239
564,Norway,60.47202399999999,8.468945999999999
565,Rome,41.9027835,12.4963655
566,the Pas de Calais,50.5732769,2.3244679
567,Normandy,48.87987039999999,0.1712529
568,Normandy,48.87987039999999,0.1712529
569,Somme,49.914518,2.2707095
570,England,52.3555177,-1.1743197
571,England,52.3555177,-1.1743197
572,Wellington,-41.2768778,174.7731458
573,London,51.5073509,-0.1277583
574,Britain,55.378051,-3.435973
575,Parliament Square,38.2575941,-85.7047359
576,East Anglia,,
577,Dover,38.9643531,-95.8914709
578,Britain,55.378051,-3.435973
579,Hamburg,53.5510846,9.9936819
580,Westminster,33.7591757,-117.9897058
581,Great George Street,46.2334161,-63.1239601
582,Aberdeen,57.149717,-2.094278
583,the North Sea,56.511018,3.515625
584,Hollywood,34.0928092,-118.3286614
585,Germany,51.165691,10.451526
586,west,37.0364989,-95.6705987
587,Normandy,48.87987039999999,0.1712529
588,Toulouse,43.604652,1.444209
589,Brussels,50.8503396,4.3517103
590,Normandy,48.87987039999999,0.1712529
591,the Roman Empire,41.8940033,12.490126
592,outflung foot,,
593,jeep,36.700097,-95.933731
594,earth,37.2321077,-95.7243335
595,earth,37.2321077,-95.7243335
596,England,52.3555177,-1.1743197
597,Oxford,51.7520209,-1.2577263
598,Britain,55.378051,-3.435973
599,Paris,48.856614,2.3522219
600,Canterbury,51.280233,1.0789089
601,Paris,48.856614,2.3522219
602,Canterbury,51.280233,1.0789089
603,Amsterdam,52.3675734,4.9041389
604,Dover,38.9643531,-95.8914709
605,Germany,51.165691,10.451526
606,Europe,54.5259614,15.2551187
607,Great Britain,53.8337367,-2.4290148
608,Aberdeen,57.149717,-2.094278
609,Aberdeen,57.149717,-2.094278
610,Aberdeen,57.149717,-2.094278
611,Scotland,56.49067119999999,-4.2026458
612,Storm Island,41.1787061,-74.32598460000001
613,Aberdeen,57.149717,-2.094278
614,Storm Island,41.1787061,-74.32598460000001
615,Edinburgh,55.953252,-3.188267
616,Wembley,51.55602469999999,-0.2796177
617,Middlesex,40.572603,-74.4926541
618,Britain,55.378051,-3.435973
619,Aberdeen,57.149717,-2.094278
620,Dundee,56.462018,-2.970721
621,Perth,-31.9505269,115.8604572
622,Aberdeen,57.149717,-2.094278
623,London,51.5073509,-0.1277583
624,Storm Island,41.1787061,-74.32598460000001
625,Aberdeen,57.149717,-2.094278
626,Edinburgh,55.953252,-3.188267
627,earth,37.2321077,-95.7243335
628,St. Paul’s,37.06250000000001,-95.677068
629,America,37.09024,-95.712891
630,Berchtesgaden,47.6301796,13.0000742
631,Germany,51.165691,10.451526
632,Poland,51.919438,19.145136
633,France,46.227638,2.213749
634,Russia,61.52401,105.318756
635,France,46.227638,2.213749
636,the Kehlstein Mountain,47.6119444,13.0411111
637,Salzburg,47.80949,13.05501
638,Untersberg,47.7,12.9833333
639,Normandy,48.87987039999999,0.1712529
640,France,46.227638,2.213749
641,Seine,48.6382687,2.4489006
642,Normandy,48.87987039999999,0.1712529
643,Seine,48.6382687,2.4489006
644,France,46.227638,2.213749
645,Cherbourg,49.6337308,-1.622137
646,Normandy,48.87987039999999,0.1712529
647,Normandy,48.87987039999999,0.1712529
648,England,52.3555177,-1.1743197
649,Hove,50.8279319,-0.168749
650,Germany,51.165691,10.451526
651,Normandy,48.87987039999999,0.1712529
652,France,46.227638,2.213749
653,Germany,51.165691,10.451526
654,Normandy,48.87987039999999,0.1712529
655,Italy,41.87194,12.56738
656,London,51.5073509,-0.1277583
657,North Sea,56.511018,3.515625
658,Wellington,-41.2768778,174.7731458
659,London,51.5073509,-0.1277583
660,Germany,51.165691,10.451526
661,Aberdeen Harbor,45.4607531,-98.43972219999999
662,Berlin,52.52000659999999,13.404954
663,Storm Island,41.1787061,-74.32598460000001
664,Storm Island,41.1787061,-74.32598460000001
665,Devon,50.7155591,-3.530875
666,Storm Island,41.1787061,-74.32598460000001
667,Storm Island,41.1787061,-74.32598460000001
668,London South,51.5073509,-0.1277583
